"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
oimico3_e6b7d4,imico_organization_post_923e20,"1.	Adopción 	",radio,"1.1. ¿Ha discutido con otras personas (por ejemplo, familiares, amigos, compañeros de trabajo, o cualquiera otra gente) lo que es el programaen términos generales?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixoimico_a24814,,
oimico4_57ec28,imico_organization_post_923e20,,radio,"1.2. ¿Ha conversado con otras personas (por ejemplo, familiares, amigos, compañeros de trabajo, o cualquiera otra gente) cómo el PROGRAMA puede ayudar a la gente?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixoimico_a24814,,
oimico5_21a4a2,imico_organization_post_923e20,,radio,"1.3. ¿Ha discutido con otros empleados lo que necesita hacer la organización para seguir usando EL PROGRAMA en el futuro?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixoimico_a24814,,
oimico6_20d0cf,imico_organization_post_923e20,,radio,"1.4. ¿Ha alentado/motivado a otros fuera de su organización (por ejemplo, familiares, amigos o cualquiera otra persona) a apoyar el PROGRAMA?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixoimico_a24814,,
oimico7_b4126a,imico_organization_post_923e20,,radio,"1.5. ¿Usted ha tenido un papel en apoyar directamente al programa EL PROGRAMA (Ejemplos, pero no limitado a: hacer dx, atender pacientes, ayudar en las solicitudes de transporte, facilitar espacios privados o salas de reuniones, organizar reembolsos por transporte y crédito telefónico, etc.)?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixoimico_a24814,,
oimico8_eb1ba3,imico_organization_post_923e20,,radio,"1.6. ¿Usted apoyaría el uso del PROGRAMA en el futuro?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixoimico_a24814,,
oimico9_a93207,imico_organization_post_923e20,,radio,"1.7. ¿Discutiría con otros empleados sobre cómo asegurar el uso continuo del PROGRAMA dentro de su organización?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixoimico_a24814,,
oimico10_24fae6,imico_organization_post_923e20,,radio,"1.8. ¿Discutiría la importancia del PROGRAMA con otros fuera de su organización?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixoimico_a24814,,
oimico11_da3ade,imico_organization_post_923e20,,radio,"1.9. ¿Tendrá un papel en apoyar directamente el PROGRAMA (Ejemplos, pero no limitado a: hacer dx, atender pacientes, ayudar con las solicitudes de transporte, facilitar espacios privados o salas de reuniones, organizar reembolsos por transporte y crédito telefónico, etc.)?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixoimico_a24814,,
oimico12_02e2b6,imico_organization_post_923e20,,radio,"1.10. ¿Será para usted una prioridad, ayudar al PROGRAMA en el futuro?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixoimico_a24814,,
oimico13_cae551,imico_organization_post_923e20,,text,"Si el encuestado responde ""De ningún modo"" o ""Un poco"" continúe con esta  pregunta: ¿Por qué no sería una alta prioridad?",,,,,,,,y,,,,,
oimico14_43e261,imico_organization_post_923e20,"
2. Accesibilidad 

SATISFACCIÓN CON PROGRAMA DENTRO DE LA ORGANIZACIÓN",radio,"2.1. ¿Siente que su organización se ha beneficiado de prestar el PROGRAMA?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixoimico1_4d24f5,,
oimico15_09c33b,imico_organization_post_923e20,,radio,"2.2. ¿Siente que prestar el PROGRAMA es bueno para la reputación de su organización?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixoimico1_4d24f5,,
oimico16_2a41bf,imico_organization_post_923e20,,radio,"2.3. ¿Cree usted que prestar el PROGRAMA ha ayudado a su organización a tener éxito?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixoimico1_4d24f5,,
oimico17_5fb645,imico_organization_post_923e20,,radio,"2.4. ¿Cree usted que prestar el PROGRAMA ha ayudado a crear oportunidades para su organización?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixoimico1_4d24f5,,
oimico18_719ce1,imico_organization_post_923e20,,radio,"2.5. ¿Le gusta que su organización preste EL PROGRAMA?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixoimico1_4d24f5,,
oimico19_191aa6,imico_organization_post_923e20,"3. Qué tan apropriado

SOCIAL/CULTURAL
",radio,"3.1. ¿Dadas las necesidades de la gente en su comunidad, ¿vale la pena asignar el dinero y el tiempo necesario al PROGRAMA?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixoimico4_4093cd,,
oimico20_534dad,imico_organization_post_923e20,,radio,"3.2. ¿El PROGRAMA encaja con los valores culturales de las personas con las que trabaja su organización?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixoimico4_4093cd,,
oimico21_42ba66,imico_organization_post_923e20,,radio,"3.3. ¿El PROGRAMA es compatible con la cultura masculina en su país?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixoimico4_4093cd,,
oimico22_923b2c,imico_organization_post_923e20,,radio,"3.4. ¿El PROGRAMA es compatible con la cultura femenina en su país?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixoimico4_4093cd,,
oimico23_f2c081,imico_organization_post_923e20,"PERCEPCIÓN DE EFECTIVIDAD",radio,"3.5. ¿El PROGRAMA es una buena manera de abordar los problemas de salud mental de los pacientes?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixoimico5_4a2521,,
oimico24_a0ce02,imico_organization_post_923e20,,radio,"3.6. ¿El programa es útil para los problemas de salud mental de los pacientes que necesitan este tipo de servicio?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixoimico5_4a2521,,
oimico25_f466f7,imico_organization_post_923e20,,radio,"3.7. ¿El PROGRAMA ayuda a los pacientes a sentirse mejor?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixoimico5_4a2521,,
oimico26_254503,imico_organization_post_923e20,,radio,"3.8. ¿Cree usted que es probable que el PROGRAMA sea efectivo para los pacientes en otras partes del país?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixoimico5_4a2521,,
oimico27_70d6ef,imico_organization_post_923e20,"ENCAJA CON LA ORGANIZACIÓN",radio,"3.9 ¿El PROGRAMA encaja con las metas de su organización?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixoimico6_dbe187,,
oimico28_ed7d2a,imico_organization_post_923e20,,radio,"4.0 ¿El PROGRAMA encaja con el funcionamiento de su organización?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixoimico6_dbe187,,
oimico29_e9f6ba,imico_organization_post_923e20,,radio,"4.1 ¿Su organización puede prestar EL PROGRAMA sin afectar negativamente a otros servicios?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixoimico6_dbe187,,
oimico30_f01a80,imico_organization_post_923e20,,radio,"4.2. ¿Es una prioridad prestar el PROGRAMA para los líderes de su organización?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixoimico6_dbe187,,
oimico31_ede3ca,imico_organization_post_923e20,"4. Prueba de conocimiento (Especifica al Programa - esta es para [La intervención])
",radio,"4.3. ¿[La intervención] es útil para qué tipo de problemas?","1, Problemas físicos | 2, Problemas sociales, conductuales y emocionales | 3, Prefiero no responder",,,,,,,y,,,matrixoimico7_ae231b,,
oimico32_de27ee,imico_organization_post_923e20,,radio,"4.4. ¿Ha habido un estudio que demuestre que [la intervención] es efectiva para los problemas de salud mental para los adultos de Colombia?","1, Sí | 2, No | 3, Prefiero no responder",,,,,,,y,,,matrixoimico8_1663c9,,
oimico33_c373a5,imico_organization_post_923e20,,radio,"4.5. DIADA es cuál de los siguientes ...","1, Solo medicación | 2, Uso de una app. | 3, Manejo por parte de un equipo | 4, Prefiero no responder",,,,,,,y,,,matrixoimico9_0bf37e,,
oimico34_5168c7,imico_organization_post_923e20,,radio,"4.6. ¿DIADA se enfoca en los pensamientos, sentimientos y comportamientos?","1, Sí | 2, No | 3, Prefiero no responder",,,,,,,y,,,matrixoimico10_79eafe,,
oimico35_fb5bb6,imico_organization_post_923e20,"5. Viabilidad

Tiempo",radio,"5.1. ¿Es suficiente el tiempo total del personal de salud en su organización para implementar el PROGRAMA?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixoimico11_81634e,,
oimico36_f28dc9,imico_organization_post_923e20,,radio,"5.2. ¿Es suficiente el tiempo total de supervisión en su organización para implementar el PROGRAMA?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixoimico11_81634e,,
oimico37_8a7929,imico_organization_post_923e20,,radio,"5.3. ¿Es suficiente el tiempo total de apoyo administrativo en su organización para implementar el PROGRAMA?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixoimico11_81634e,,
oimico38_5e3bf0,imico_organization_post_923e20,RECURSOS,radio,"5.4. ¿Tiene la organización presupuesto suficiente para implementar EL PROGRAMA?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixoimico12_32ce41,,
oimico39_ab57b1,imico_organization_post_923e20,,radio,"5.5. ¿Proporciona la organización el dinero necesario para el transporte para implementar EL PROGRAMA?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixoimico12_32ce41,,
oimico40_ca3a1d,imico_organization_post_923e20,,radio,"5.6. ¿Provee la organización el equipo necesario (por ejemplo, lápices / bolígrafos / computadora / internet) para implementar EL PROGRAMA?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixoimico12_32ce41,,
oimico41_a3e1cb,imico_organization_post_923e20,,radio,"5.7. ¿Proporciona la organización los recursos de comunicación necesarios (por ejemplo, teléfono, tiempo de conversación) para implementar EL PROGRAMA?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixoimico12_32ce41,,
oimico42_d1aa0d,imico_organization_post_923e20,,radio,"5.8. ¿Tiene la organización tiene espacio privado para implementar EL PROGRAMA?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixoimico12_32ce41,,
oimico43_5ad25b,imico_organization_post_923e20,,radio,"5.9. ¿Recibe el personal de esta organización su salario a a tiempo?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixoimico12_32ce41,,
oimico44_7f786f,imico_organization_post_923e20,PERSONAL/SUPERVISIÓN,radio,"5.10. ¿La organización tiene suficiente personal de salud para implementar EL PROGRAMA?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixoimico13_2fc4c8,,
oimico45_886380,imico_organization_post_923e20,,radio,"5.11. ¿La organización tiene suficientes profesionales capacitados en el PROGRAMA para atender a quienes buscan servicios?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixoimico13_2fc4c8,,
oimico46_d42f04,imico_organization_post_923e20,,radio,"5.12. ¿La organización tiene tiene suficientes supervisores para implementar EL PROGRAMA?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixoimico13_2fc4c8,,
oimico47_0ea0f1,imico_organization_post_923e20,,radio,"5.13. ¿La organización tiene suficiente acceso a proveedores del PROGRAMA?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixoimico13_2fc4c8,,
oimico48_fb4ad7,imico_organization_post_923e20,"6. ALCANCE/ACCESO
",radio,"6.1. ¿Están las personas de la comunidad al tanto de que los servicios del PROGRAMA están disponibles?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixoimico14_ad0836,,
oimico49_c2618c,imico_organization_post_923e20,,radio,"6.2. ¿Los pacientes que buscan ayuda pueden comenzar EL PROGRAMA con poco tiempo de espera?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixoimico14_ad0836,,
oimico50_e11d05,imico_organization_post_923e20,,radio,"6.3. ¿Usted cree que la mayoría de la gente en la comunidad buscaría los servicios del PROGRAMA si los necesitaran ?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixoimico14_ad0836,,
oimico51_d3fdba,imico_organization_post_923e20,,text,"6.4. ¿Cuáles son las razones por las que no buscarían servicios?",,,,,,,"[oimico50_e11d05] = '1' or [oimico50_e11d05] = '2'",y,,,,,
oimico52_eddc8d,imico_organization_post_923e20,,radio,"6.5. ¿Cree usted que las mujeres buscarían los servicios del PROGRAMA si los necesitaran?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixoimico15_79cf40,,
oimico53_e509bc,imico_organization_post_923e20,,text,"6.6. ¿Cuáles son las razones por las que no buscarían servicios?",,,,,,,"[oimico52_eddc8d] = '1' or [oimico52_eddc8d] = '2'",y,,,,,
oimico54_77a385,imico_organization_post_923e20,,radio,"6.7. ¿Cree usted que los hombres buscarían los servicios del PROGRAMA si los necesitaran?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixoimico16_4adc3c,,
oimico55_310d36,imico_organization_post_923e20,,text,"6.8. ¿Cuáles son las razones por las que no buscarían servicios?",,,,,,,"[oimico54_77a385] = '1' or [oimico54_77a385] = '2'",y,,,,,
oimico56_51985a,imico_organization_post_923e20,,radio,"6.9. ¿Cree usted que los padres u otros cuidadores buscarían los servicios del PROGRAMA si  sus hijos  los necesitaran?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixoimico17_8981c5,,
oimico57_6981b2,imico_organization_post_923e20,,text,"7.0. ¿Cuáles son las razones por las que no buscarían servicios?",,,,,,,"[oimico56_51985a] = '1' or [oimico56_51985a] = '2'",y,,,,,
oimico60_7c2af6,imico_organization_post_923e20,,text,"7.1. ¿Quién no buscaría los servicios del PROGRAMA dentro de su comunidad?",,,,,,,,y,,,,,
oimico61_1ba0fb,imico_organization_post_923e20,"7. Ambiente Organizacional 

SENTIMIENTOS PERSONALES DURANTE TRABAJO",radio,"7.2. ¿Su moral en el trabajo es alta?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixoimico19_a4a1f1,,
oimico62_ab3f33,imico_organization_post_923e20,,radio,"7.3. ¿Su carga de trabajo es manejable (lo que significa que usted no se siente estresado o con demasiado trabajo)?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixoimico19_a4a1f1,,
oimico63_a55d4c,imico_organization_post_923e20,,radio,"7.4. ¿Siente que está bien informado sobre las cosas que debe saber dentro de su organización?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixoimico19_a4a1f1,,
oimico64_ca916e,imico_organization_post_923e20,,radio,"7.5. ¿Su organización le mantiene bien informado sobre lo que necesita saber para hacer su trabajo?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixoimico19_a4a1f1,,
oimico65_d3f056,imico_organization_post_923e20,,radio,"7.6. Cuándo tiene un problema en el trabajo, ¿sabe a quién acudir para obtener la respuesta?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixoimico19_a4a1f1,,
oimico66_1cad78,imico_organization_post_923e20,,radio,"7.7. Cuando tiene un problema, ¿es usted quien se encarga de buscar la persona responsable para solucionarlo dentro de su organización?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixoimico19_a4a1f1,,
oimico67_bb2d74,imico_organization_post_923e20,,radio,"7.8. ¿La organización para la que trabaja promueve su crecimiento profesional?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixoimico19_a4a1f1,,
oimico68_f2b2e9,imico_organization_post_923e20,,radio,"7.9. ¿La organización para la que trabaja es adaptable a sus necesidades?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixoimico19_a4a1f1,,
oimico69_8ee2ab,imico_organization_post_923e20,,radio,"8.0. ¿Está satisfecho con la compensación monetaria que recibe por su trabajo?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixoimico19_a4a1f1,,
oimico70_671aa6,imico_organization_post_923e20,,radio,"8.1. ¿Cuánto le importa la dirección y el éxito de la organización en la que trabaja?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixoimico19_a4a1f1,,
oimico71_1925cf,imico_organization_post_923e20,,radio,"8.2. ¿Hay suficientes oportunidades de aprendizaje que se ofrecen a usted a través de su organización?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixoimico19_a4a1f1,,
oimico72_ac9207,imico_organization_post_923e20,"8. Liderazgo en Implementación

Liderazgo Proactivo",radio,"8.3. ¿Tienen los líderes de su organización estándares de calidad claros para la implementación del PROGRAMA?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixoimico20_9ca096,,
oimico73_5aacc1,imico_organization_post_923e20,,radio,"8.4. ¿Tienen los líderes de su organización un plan para facilitar la implementación del PROGRAMA?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixoimico20_9ca096,,
oimico74_0339ee,imico_organization_post_923e20,,radio,"8.5. ¿Han eliminado los líderes su organización los obstáculos a la implementación del PROGRAMA?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixoimico20_9ca096,,
oimico75_66a80b,imico_organization_post_923e20,"Liderazgo Conocedor",radio,"8.6. ¿Los líderes de su organización saben de qué están hablando cuando se trata del PROGRAMA?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixoimico21_3946a1,,
oimico76_85f657,imico_organization_post_923e20,,radio,"8.7. ¿Los líderes de su organización están informados sobre EL PROGRAMA?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixoimico21_3946a1,,
oimico77_251cba,imico_organization_post_923e20,,radio,"8.8. ¿Los líderes de su organización están capacitados para responder a las preguntas del personal sobre EL PROGRAMA?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixoimico21_3946a1,,
oimico78_43609b,imico_organization_post_923e20,"Apoyo del Liderazgo de la Organización",radio,"8.9. ¿Los líderes de su organización apoyan los esfuerzos de los prestadores para usar EL PROGRAMA?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixoimico22_bd9000,,
oimico79_c1c8d9,imico_organization_post_923e20,,radio,"9.0. ¿Los líderes de su organización apoyan los esfuerzos de los proveedores de salud y administrativos para aprender más sobre EL PROGRAMA?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixoimico22_bd9000,,
oimico80_e2ffed,imico_organization_post_923e20,,radio,"9.1. ¿Reconocen y aprecian los líderes de su organización los esfuerzos de las personas que participan en el programa?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixoimico22_bd9000,,
oimico81_fcd91d,imico_organization_post_923e20,"Liderazgo Perseverante",radio,"9.2. ¿Los líderes de su organización perseverarán a través de los altibajos de la implementación del PROGRAMA?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixoimico23_43e888,,
oimico82_a7e577,imico_organization_post_923e20,,radio,"9.3. ¿Los líderes de su organización continúan trabajando a pesar de los desafíos de implementar EL PROGRAMA?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixoimico23_43e888,,
oimico83_92dc5c,imico_organization_post_923e20,,radio,"9.4. ¿Los líderes de su organización abordan de manera efectiva las cuestiones cruciales relacionadas con la implementación del PROGRAMA?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixoimico23_43e888,,
oimico84_af6386,imico_organization_post_923e20,"9. Habilidades Generales de Liderazgo
",radio,"9.5. ¿Usted cree que los líderes de su organización son buenos líderes?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixoimico24_06d895,,
oimico85_cc19e7,imico_organization_post_923e20,,radio,"9.6. ¿Usted cree que es fácil hablar con los líderes de su organización?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixoimico24_06d895,,
oimico86_20a51d,imico_organization_post_923e20,,radio,"9.7. ¿Usted cree que los líderes de su organización son confiables?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixoimico24_06d895,,
oimico87_9aa464,imico_organization_post_923e20,,radio,"9.8. ¿Usted cree que los líderes de su organización se comportan de manera que obtienen respeto de los miembros del personal?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixoimico24_06d895,,
oimico88_edfb7a,imico_organization_post_923e20,,radio,"9.9 ¿Los líderes de su organización toman las decisiones apropiadas para ayudar a asegurar el éxito del PROGRAMA?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixoimico24_06d895,,
oimico89_554c7b,imico_organization_post_923e20,,radio,"10.1. ¿Los líderes de su organización están abiertos a escuchar ideas que difieren de las suyas?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixoimico24_06d895,,
oimico90_ec022c,imico_organization_post_923e20,,radio,"10.2. ¿Los líderes de su organización ayudan a los miembros del personal a ver cómo las metas del programa se alinean con sus metas personales?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixoimico24_06d895,,
oimico91_8c281a,imico_organization_post_923e20,,radio,"10.3. ¿Los líderes de su organización hablan acerca de las metas para el futuro del programa?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixoimico24_06d895,,
oimico92_8b3403,imico_organization_post_923e20,,radio,"10.4. ¿Los líderes de su organización tienen estrategias para ayudar a alcanzar los objetivos del programa?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixoimico24_06d895,,
oimico95_d31ebe,imico_organization_post_923e20,"10. Sostenibilidad 
",radio,"10.5. ¿Existiría un sistema para monitorizar los resultados del programa?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixoimico26_14012f,,
